Image Index,PSNR,SSIM,LPIPS
1,34.7305,0.9144,0.3048
2,34.8603,0.9257,0.2355
3,34.1031,0.8819,0.2874
4,32.6425,0.8832,0.1925
5,32.4731,0.8757,0.2477
6,34.2329,0.9154,0.2729
7,32.2205,0.7571,0.1720
8,35.2742,0.9446,0.2109
9,33.5117,0.9078,0.2419
10,35.4443,0.9376,0.2691
11,32.2862,0.8574,0.1836
12,32.3642,0.8663,0.1974
13,36.5171,0.9525,0.1869
14,32.8545,0.8753,0.2617
15,32.8529,0.8954,0.1914
16,33.5740,0.8919,0.1967
17,32.8270,0.8709,0.2406
18,34.4664,0.9282,0.1936
19,32.9729,0.8551,0.1674
20,32.3100,0.8051,0.2605
21,33.3789,0.9028,0.1906
22,34.5624,0.9266,0.2255
23,36.1497,0.9529,0.2124
24,34.4071,0.8940,0.3229
25,32.6947,0.8655,0.2780
26,31.2262,0.8547,0.2279
27,35.0428,0.9371,0.2140
28,30.1900,0.8463,0.2071
29,32.3713,0.7647,0.1816
30,33.4650,0.9055,0.2014
31,33.4412,0.9095,0.1732
32,33.6479,0.8932,0.2074
33,33.8786,0.9197,0.2384
34,32.5020,0.8774,0.2473
35,33.9941,0.9229,0.2059
36,34.8144,0.8935,0.2733
37,32.8471,0.8959,0.1992
38,32.5215,0.8791,0.2227
39,32.8555,0.8927,0.2445
40,32.6917,0.8512,0.2019
41,32.6186,0.9051,0.1964
42,33.3438,0.9077,0.2168
43,32.5447,0.8097,0.2036
44,32.9253,0.8815,0.1927
45,33.8594,0.9010,0.2246
46,35.5123,0.9236,0.2633
47,32.7992,0.8857,0.2121
48,33.6439,0.9020,0.2258
49,34.6091,0.9322,0.2111
50,35.5375,0.9376,0.2259
51,33.5734,0.9082,0.2123
52,32.6596,0.8954,0.1905
53,32.7570,0.8869,0.2107
54,33.1160,0.8961,0.2018
55,32.5471,0.8799,0.2265
56,33.2041,0.8981,0.1917
57,33.5981,0.9003,0.1692
58,33.2658,0.8934,0.2208
59,33.7795,0.9028,0.1735
60,33.0901,0.8950,0.2018
61,34.9385,0.9382,0.1882
62,35.4316,0.9165,0.3115
63,33.3051,0.8927,0.1902
64,33.3426,0.9032,0.2096
65,32.9799,0.8986,0.1790
66,31.0547,0.8740,0.2801
67,33.2733,0.8988,0.2038
68,38.0342,0.9753,0.2639
69,33.1941,0.8942,0.2493
70,33.6477,0.9056,0.1864
71,33.4408,0.8949,0.2461
72,32.1966,0.8543,0.2331
73,35.3460,0.9505,0.2440
74,34.8287,0.9339,0.2229
75,32.6740,0.8743,0.2383
76,32.9260,0.8788,0.2102
77,33.6356,0.8786,0.2233
78,32.6068,0.8620,0.1844
79,32.7603,0.8677,0.1934
80,32.9787,0.9041,0.2169
81,34.2211,0.8955,0.2003
82,33.4135,0.9077,0.2257
83,33.8357,0.9042,0.2094
84,33.2941,0.9050,0.1917
85,35.1743,0.9161,0.2262
86,34.6736,0.9331,0.1994
87,33.7269,0.8975,0.2003
88,33.1168,0.8899,0.2423
89,34.8844,0.9262,0.2324
90,35.9474,0.9473,0.2502
91,33.3254,0.8340,0.1950
92,33.1453,0.9014,0.2035
93,34.4908,0.9314,0.2109
94,32.4538,0.7434,0.2311
95,33.1742,0.8830,0.1910
96,32.4352,0.8651,0.3152
97,32.3871,0.8921,0.2409
98,33.2301,0.8820,0.2677
99,34.7317,0.9246,0.3201
100,33.5632,0.9062,0.2413
101,33.2135,0.9066,0.3089
102,33.0380,0.8666,0.1950
103,33.8673,0.9175,0.2532
104,33.2587,0.9062,0.2716
105,33.3292,0.8982,0.2401
106,30.5719,0.8197,0.2049
107,34.2593,0.9224,0.2342
108,33.2268,0.8897,0.2074
109,35.0798,0.8846,0.3075
110,34.8721,0.9259,0.2287
111,33.3949,0.8981,0.2482
112,32.6901,0.8873,0.1930
113,35.0568,0.9298,0.2424
114,32.1243,0.8791,0.2143
115,33.6374,0.8930,0.1817
116,32.8185,0.8858,0.2402
117,32.8052,0.8802,0.2037
118,34.8482,0.9271,0.2464
119,34.7918,0.9376,0.2136
120,34.1869,0.9038,0.2834
121,34.5143,0.9145,0.1836
122,33.0626,0.8157,0.1961
123,33.3017,0.8622,0.2082
124,34.0307,0.9017,0.2118
125,33.7072,0.9083,0.1697
126,33.4818,0.9150,0.2302
127,33.3360,0.8892,0.2188
128,35.3186,0.9167,0.2869
129,32.9923,0.8817,0.2332
130,32.6032,0.8421,0.2035
131,33.8118,0.9155,0.1878
132,33.6361,0.8937,0.2088
133,33.3098,0.9071,0.2347
134,32.6773,0.8757,0.2421
135,35.3371,0.9032,0.2505
