Image Index,PSNR,SSIM,LPIPS
1,33.3209,0.9007,0.1592
2,37.3860,0.9523,0.1518
3,34.3521,0.9026,0.1673
4,34.1982,0.9061,0.1493
5,33.9408,0.9072,0.1496
6,33.5912,0.9048,0.1470
7,34.7501,0.8475,0.0947
8,33.4659,0.8897,0.1419
9,34.1656,0.9083,0.1446
10,35.4716,0.9381,0.1284
11,35.2270,0.9333,0.1355
12,33.8707,0.9010,0.1735
13,34.6958,0.9099,0.1394
14,34.2027,0.9005,0.1674
15,36.1867,0.9412,0.1583
16,34.1747,0.9031,0.1596
17,33.9259,0.8960,0.1169
18,34.4548,0.9135,0.1569
19,34.4015,0.9206,0.1295
20,34.5417,0.8929,0.1443
21,36.2190,0.9192,0.2263
22,35.9500,0.9442,0.1303
23,33.4171,0.8856,0.1269
24,34.1866,0.9172,0.1409
25,36.1149,0.9219,0.2393
26,35.2015,0.9252,0.2116
27,33.0170,0.8743,0.1901
28,35.7301,0.9363,0.1558
29,35.1388,0.9193,0.1525
30,33.9468,0.9033,0.1398
31,33.4639,0.8990,0.1336
32,33.9293,0.8995,0.1217
33,34.1267,0.9002,0.1673
34,35.8803,0.9439,0.1706
35,34.3558,0.9153,0.1191
36,33.9133,0.9060,0.1759
37,35.8150,0.9343,0.1855
38,33.8234,0.9058,0.1672
39,34.8783,0.9134,0.1304
40,34.4518,0.9056,0.1639
41,34.2231,0.9029,0.1643
42,34.4670,0.8983,0.1569
43,35.3975,0.8559,0.2352
44,33.1264,0.8857,0.1341
45,33.9876,0.8873,0.2161
46,34.0874,0.8755,0.1439
47,35.2160,0.9268,0.1379
48,35.1346,0.9178,0.1474
49,33.5385,0.8890,0.1461
50,35.2571,0.9231,0.1159
51,35.0296,0.9199,0.1567
52,34.0582,0.8956,0.1523
53,34.0448,0.8914,0.1782
54,34.6446,0.9233,0.1188
55,34.0048,0.9081,0.1439
56,36.3785,0.9445,0.2240
57,33.9896,0.8799,0.1979
58,36.3113,0.9232,0.2128
59,34.4767,0.9337,0.1558
60,35.3382,0.9312,0.1604
61,34.2924,0.9152,0.1311
62,33.5738,0.9034,0.1343
63,35.0197,0.9121,0.1200
64,35.3163,0.9324,0.1755
65,34.8511,0.9195,0.1497
66,35.0645,0.9358,0.1817
67,34.9156,0.9244,0.1248
68,34.7676,0.9257,0.1528
69,34.9851,0.9242,0.1320
70,34.8505,0.9210,0.1715
71,36.5084,0.9440,0.1804
72,33.6454,0.8989,0.1376
73,36.7372,0.9493,0.2032
74,34.2342,0.9175,0.1211
75,34.6715,0.9088,0.1336
76,34.1151,0.9116,0.1236
77,32.9544,0.9006,0.1904
78,34.4221,0.9154,0.1621
79,34.1942,0.8971,0.1683
80,34.9737,0.9188,0.1883
81,33.0100,0.8969,0.1722
82,34.3747,0.9049,0.1686
83,34.4677,0.9071,0.1545
84,34.8233,0.9101,0.1733
85,34.2734,0.9127,0.2081
86,33.7240,0.8983,0.1821
87,34.2306,0.8860,0.1416
88,32.8657,0.8693,0.1526
89,34.6476,0.9086,0.1332
90,33.9676,0.9011,0.1256
91,33.9078,0.9014,0.1459
92,32.0839,0.8640,0.1763
93,34.1475,0.9218,0.1181
94,35.1948,0.9248,0.1325
95,33.6984,0.8927,0.1483
96,34.5951,0.8844,0.2454
97,34.0389,0.8899,0.1320
98,33.9264,0.8892,0.1889
99,33.0145,0.8815,0.1814
100,34.3346,0.8984,0.1555
101,35.7262,0.9378,0.1646
102,34.4260,0.9158,0.1499
103,34.1276,0.8919,0.2079
104,35.8992,0.9337,0.1572
105,35.7107,0.9246,0.1881
106,33.9691,0.8922,0.1772
107,33.3811,0.9009,0.1379
108,34.7167,0.9241,0.1166
109,32.6440,0.8800,0.2002
110,33.5644,0.9036,0.1705
111,33.8439,0.8727,0.1757
112,35.7409,0.9335,0.1516
113,33.9052,0.8785,0.1556
114,34.9049,0.9037,0.1398
115,35.0314,0.9307,0.1638
116,34.9709,0.9094,0.1283
117,34.0334,0.8944,0.1427
118,34.0632,0.8802,0.1108
119,35.6533,0.9162,0.2255
120,35.5875,0.9257,0.1434
121,34.0636,0.7823,0.0901
122,33.3912,0.8860,0.1597
123,34.5233,0.9131,0.1608
124,34.7267,0.8926,0.1091
125,33.1803,0.8973,0.1788
126,34.5045,0.9132,0.1659
127,33.2104,0.8471,0.1584
128,34.3871,0.9112,0.1605
